Sequence	Candidate for	Resistance_to	Reference	MGS_DANOIS	isPhage	MGS_SIZE	superkingdom	phylum	class	order	family	genus	species	COG/NOG/KOG_v3	Functional category_v3	Annotation_eggNOG_v3
MC3.MG56.AS1.GP1.C11502.G30	erm	macrolides	Erm_39__AAR92235_1	-	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Paraprevotella xylaniphila	bctoNOG01355	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase; catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rR; mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin
MC3.MG56.AS1.GP1.C15337.G34	erm	macrolides	ErmSF_AAA26742_1	-	-	-								bctoNOG01355	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase; catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rR; mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin
MC3.MG56.AS1.GP1.C15958.G6	erm	macrolides	ErmSF_AAA26742_1	891	-	2179	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG:891	bctoNOG01355	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase; catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rR; mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin
MC3.MG56.AS1.GP1.C16232.G5	erm	macrolides	Erm_39__AAR92235_1	1320	-	2315	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG:1320	bctoNOG01355	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase; catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rR; mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin
MC3.MG57.AS1.GP1.C24462.G2	erm	macrolides	Erm_39__AAR92235_1	252	-	2318	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:252	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C19711.G2	erm	macrolides	Erm_43__CCF55073_1	19	-	2290	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus comes	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C20465.G2	erm	macrolides	ErmG_AAA22419_1	68	-	2096	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii CAG:68	bctoNOG01355	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase; catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rR; mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin
MC3.MG6.AS1.GP1.C21097.G2	erm	macrolides	ErmFU_AAA27431_1	121	-	1843								firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C23015.G1	erm	macrolides	Erm_34__AAP74657_1	74	-	2635	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp. CAG:74	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C25970.G3	erm	macrolides	ErmE1_CAB60001_1	239	-	1954	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum sp. CAG:239	COG0030	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase (rR methylation)
MC3.MG6.AS1.GP1.C26610.G2	erm	macrolides	ErmO_SrmA__CAA11706_1	129	-	1728	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella	uncultured Collinsella sp.	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C3082.G3	erm	macrolides	Erm_39__AAR92235_1	313	-	1555	Bacteria	Firmicutes						firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C34077.G2	erm	macrolides	ErmF_AAA98217_1	552	-	1303	Bacteria	Firmicutes						firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C37088.G4	erm	macrolides	ErmE1_CAB60001_1	592	-	2501	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG:592	bctoNOG01355	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase; catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rR; mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin
MC3.MG6.AS1.GP1.C38153.G24	erm	macrolides	Erm_39__AAR92235_1	194	-	2644	Bacteria	Firmicutes	Clostridia	Clostridiales				firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C38873.G40	erm	macrolides	ErmE1_CAB60001_1	287	-	3024	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium succinatutens	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C40960.G2	erm	macrolides	ErmQ_AAC36915_1	-	-	-								firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C43114.G4	erm	macrolides	ErmA_CAA26964_1	309	-	4146	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. CAG:309	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C44323.G4	erm	macrolides	Erm_39__AAR92235_1	223	-	3033	Bacteria	Firmicutes	Clostridia	Clostridiales				firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C53947.G2	erm	macrolides	ErmE1_CAB60001_1	721	-	2285								bproNOG02402	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C56751.G7	erm	macrolides	Erm_39__AAR92235_1	248	-	1960	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium		firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C58951.G6	erm	macrolides	ErmSF_AAA26742_1	-	-	-								bctoNOG01355	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase; catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rR; mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin
MC3.MG6.AS1.GP1.C59043.G6	erm	macrolides	Erm_39__AAR92235_1	24	-	2488	Bacteria	Firmicutes						firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C67128.G4	erm	macrolides	ErmC_AAA98296_1	508	-	1314	Bacteria	Firmicutes	Clostridia					firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C73871.G102	erm	macrolides	ErmE1_CAB60001_1	495	-	2036	Bacteria	Proteobacteria						COG0030	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase (rR methylation)
MC3.MG6.AS1.GP1.C85987.G2	erm	macrolides	ErmY_BAB20748_1	25	-	2238	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. SS2/1	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG6.AS1.GP1.C89074.G5	erm	macrolides	Erm_43__CCF55073_1	442	-	-								COG0463	Cell wall/membrane/envelope biogenesis 	Glycosyltransferases involved in cell wall biogenesis
MC3.MG6.AS1.GP1.C98785.G3	erm	macrolides	ErmR_AAU93796_1	474	-	2643	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG:474	bctoNOG01355	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase; catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rR; mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin
MC3.MG60.AS1.GP1.C19853.G3	erm	macrolides	ErmY_BAB20748_1	260	-	2029	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum sp. CAG:260	COG0030	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase (rR methylation)
MC3.MG63.AS1.GP1.C14688.G2	erm	macrolides	ErmE1_CAB60001_1	528	-	1906	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus sp. CAG:528	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG63.AS1.GP1.C21528.G5	erm	macrolides	ErmQ_AAC36915_1	-	-	-	Bacteria	Firmicutes	Clostridia					firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG64.AS1.GP1.C7222.G11	erm	macrolides	ErmA_AAB60941_1	-	-	-	Bacteria	Firmicutes	Clostridia					firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG64.AS1.GP1.C9144.G2	erm	macrolides	Erm_34__AAP74657_1	-	-	-								firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG64.AS1.GP1.C9188.G6	erm	macrolides	Erm_43__CCF55073_1	307	-	2233	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:307	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG66.AS1.GP1.C634.G2	erm	macrolides	Erm_40__AAS76623_1	306	-	2517	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:306	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG67.AS1.GP1.C7205.G1	erm	macrolides	Erm_36__ErmML__AAL68827_1	757	-	1765								COG0030	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase (rR methylation)
MC3.MG67.AS1.GP1.C954.G2	erm	macrolides	ErmC_AAA98296_1	273	-	1459	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:273	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG68.AS1.GP1.C29595.G2	erm	macrolides	ErmE1_CAB60001_1	924	-	2294	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG:924	bctoNOG01355	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase; catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rR; mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin
MC3.MG68.AS1.GP1.C34414.G1	erm	macrolides	ErmB_CAA68299_1	-	-	-	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium moorei	COG0030	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase (rR methylation)
MC3.MG68.AS1.GP1.C4938.G2	erm	macrolides	Erm_39__AAR92235_1	38	-	2758	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:38	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG69.AS1.GP1.C15019.G3	erm	macrolides	ErmM_AAA98228_1	-	-	-	Bacteria	Firmicutes	Clostridia					firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG7.AS1.GP1.C20582.G6	erm	macrolides	ErmO_SrmA__CAA11706_1	103	-	1878	Bacteria	Firmicutes						firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG70.AS1.GP1.C15702.G2	erm	macrolides	Erm_36__ErmML__AAL68827_1	144	-	2230	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. CAG:144	bctoNOG01355	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase; catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rR; mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin
MC3.MG70.AS1.GP1.C28923.G3	erm	macrolides	Erm_31__AAC69327_1	831	-	4281	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. CAG:831	bctoNOG01355	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase; catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rR; mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin
MC3.MG73.AS1.GP1.C11420.G2	erm	macrolides	Erm_39__AAR92235_1	233	-	1679	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	Parasutterella excrementihominis	bproNOG02402	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG76.AS1.GP1.C10007.G3	erm	macrolides	ErmG_AAC37034_1	956	-	1593	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma sp. CAG:956	eurNOG00886	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits (By similarity)
MC3.MG76.AS1.GP1.C25785.G2	erm	macrolides	ErmFS_AAA63165_1	-	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. D1	eurNOG00886	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits (By similarity)
MC3.MG76.AS1.GP1.C8150.G39	erm	macrolides	ErmQ_AAC36915_1	-	-	-								firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG76.AS1.GP1.C9484.G2	erm	macrolides	ErmE1_CAB60001_1	-	-	-								bctoNOG01355	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase; catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rR; mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin
MC3.MG78.AS1.GP1.C1215.G59	erm	macrolides	Erm_40__AAS76623_1	-	-	-								firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG78.AS1.GP1.C21372.G1	erm	macrolides	ErmC_AAA98296_1	7130	-	-								COG0030	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase (rR methylation)
MC3.MG78.AS1.GP1.C5968.G7	erm	macrolides	ErmD_AAA22599_1	-	-	-								firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG78.AS1.GP1.C6283.G16	erm	macrolides	Erm_43__CCF55073_1	914	-	1390	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:914	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG8.AS1.GP1.C7085.G5	erm	macrolides	ErmC_AAA20192_1	-	-	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	COG0030	Translation, ribosomal structure and biogenesis 	Dimethyladenosine transferase (rR methylation)
MC3.MG80.AS1.GP1.C10039.G16	erm	macrolides	ErmGT_AAG37071_1	460	-	1385	Bacteria	Firmicutes						firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG81.AS1.GP1.C5266.G2	erm	macrolides	ErmGT_AAG37071_1	245	-	2124	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:245	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG81.AS1.GP1.C637.G8	erm	macrolides	Erm_43__CCF55073_1	1000	-	1232	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:1000	eurNOG00886	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits (By similarity)
MC3.MG85.AS1.GP1.C30433.G5	erm	macrolides	Erm_43__CCF55073_1	60	-	2788	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. CAG:60	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG85.AS1.GP1.C8385.G2	erm	macrolides	ErmSV_AAB51440_1	786	-	2697	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:786	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG86.AS1.GP1.C1602.G2	erm	macrolides	ErmB_AAK84314_1	235	-	2716	Bacteria							firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG86.AS1.GP1.C3695.G3	erm	macrolides	Erm_39__AAR92235_1	81	-	2860	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:81	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG86.AS1.GP1.C6630.G1	erm	macrolides	ErmA_AAB60941_1	1596	-	1218								firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG86.AS1.GP1.C8422.G10	erm	macrolides	Erm_39__AAR92235_1	171	-	3079	Bacteria	Firmicutes	Clostridia					firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG87.AS1.GP1.C1554.G3	erm	macrolides	Erm_39__AAR92235_1	52	-	3687	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia sp. CAG:52	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG87.AS1.GP1.C24528.G1	erm	macrolides	Erm_35__AAK07612_2	61	-	2199	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	Ruminococcus torques ATCC 27756	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG87.AS1.GP1.C26061.G1	erm	macrolides	Erm_33__CAE18145_1	12	-	2625	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium hallii	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG87.AS1.GP1.C29038.G4	erm	macrolides	Erm_39__AAR92235_1	55	-	2315	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus torques L2-14	firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG87.AS1.GP1.C37671.G4	erm	macrolides	ErmA_AAB60941_1	58	-	2924	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:58	actNOG07529	Secondary metabolites biosynthesis, transport and catabolism 	Methyltransferase
MC3.MG87.AS1.GP1.C37823.G2	erm	macrolides	ErmA_CAA26964_1	181	-	3236	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG87.AS1.GP1.C44305.G5	erm	macrolides	ErmE1_CAB60001_1	-	-	-	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus		firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
MC3.MG87.AS1.GP1.C45467.G1	erm	macrolides	ErmE1_CAB60001_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		firmNOG00584	Translation, ribosomal structure and biogenesis 	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a hairpin near the 3'-end of 16S rR in the 30S particle. May play a critical role in biogenesis of 30S subunits
